1	$3.66	$3.70	$3.74	$3.78	$3.82	$3.94	$4.06	$4.06
2	3.66	3.70	3.74	3.78	3.82	3.94	4.06	4.06
3	3.66	3.70	3.74	3.78	3.82	3.94	4.06	4.06
4	3.66	3.70	3.74	3.78	3.82	3.94	4.06	4.06
5	4.39	4.44	4.49	4.53	4.57	4.69	4.81	4.81
6	4.39	4.44	4.49	4.53	4.57	4.69	4.81	4.81
7	4.39	4.44	4.49	4.53	4.57	4.69	4.81	4.81
8	4.39	4.44	4.49	4.53	4.57	4.69	4.81	4.81
9	5.19	5.24	5.30	5.35	5.40	5.53	5.66	5.66
10	5.19	5.24	5.30	5.35	5.40	5.53	5.66	5.66
11	5.19	5.24	5.30	5.35	5.40	5.53	5.66	5.66
12	5.19	5.24	5.30	5.35	5.40	5.53	5.66	5.66
13	5.71	5.78	5.85	5.93	5.99	6.13	6.27	6.27
